Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
CNG,Clean Energy - Logan International Airport,1000 Cottage St Ext,"From Route 1, take the first exit after Callahan Tunnel. Located near the Massachusetts State Police Troop F building on Service Rd.",East Boston,MA,02128,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,A CleanEnergy Comdata D FuelMan M V Voyager Wright_Exp,,Q,3000 3600,,,,,,,GPS,42.37470554648246,-71.02654860574343,2025-09-12,81,2025-09-12 21:23:31 UTC,SG,,,1996-11-15,,MD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,AIRPORT,4,NONE,850,,,,,,,,,Q,3000 3600,MD,,,false,,,,,,true,,MD,,
CNG,Clean Energy - Everett - National Grid,16 Rover St,"Rt 16, exit to Rt 99, to Dexter St to Rover. Or Rt 99 to Robin St, to Rover St",Everett,MA,02149,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,CleanEnergy D FleetOne FuelMan M V Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-8,42.393167,-71.064352,2025-09-12,84,2025-09-12 21:23:31 UTC,T,,,1996-11-15,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,1,,425,,,,,,,,,Q,3000 3600,HD,,,false,,,,,,false,,HD,,
LPG,Jaysan Gas Service Inc,80 County Rd,"Route 140 to Exit 8, east on Chace Rd, 500 feet to Crossroad Plaza, at 4-way turn right on County Rd, station is 1 mile on left",East Freetown,MA,02717,,508-763-2729,E,,Public - Card key after hours,8am-4:30pm M-F; call station to arrange for after hours fueling,Cash Checks D M V,,,,,,,,,,GPS,41.7571537,-70.9465365,2024-11-06,14889,2025-10-24 13:31:34 UTC,P,,,1999-07-08,,,true,,,US,,,,Public - Carte-clé après les heures d'ouverture,,public,KEY_AFTER_HOURS,,FUEL_RESELLER,,,,,,,,,ACME QUICK_CONNECT,,,,,,,,false,,,,,,,,HD,,
LPG,Roby's Propane Gas Inc,878 County Rd,,West Wareham,MA,02576,,508-295-3737,E,,Public,7am-4pm M-F,A Cash D M V,,,,,,,,,,GPS,41.8029293,-70.7709222,2025-10-13,15766,2025-10-13 20:52:30 UTC,P,,,1999-07-08,,,true,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,ACME,,,,,,,,false,,,,,,,,HD,,
CNG,Alternative Vehicle Service Group - Tewksbury,20 Main St,"Route 495 to Route 38 N, then to the second set of lights and turn right onto Clark Rd.",Tewksbury,MA,01876,,617-242-8755,E,,Public - Credit card at all times,24 hours daily,M PHH V Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-9,42.629512,-71.270846,2025-08-12,18892,2025-08-12 16:54:10 UTC,P,,,2002-02-15,,MD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,2,NONE,300,37000,,,,,,,,Q,3000 3600,MD,,,false,,,,,,true,,MD,,
CNG,Alternative Vehicle Service Group - Lexington,Route 128 N,"From I-95/Route 128 N, take exit 30, and follow the signs to the Service Area.",Lexington,MA,02421,,617-242-8755,E,,Public - Credit card at all times,24 hours daily,M PHH V Voyager Wright_Exp,,Q,3000 3600,,,,,,,GPS,42.43985879899109,-71.25700522806643,2025-08-12,18893,2025-08-12 16:54:10 UTC,P,,,2000-03-15,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,1,NONE,190,37000,,,,,,,,Q,3000 3600,HD,,,false,,,,,,true,,HD,,
CNG,Alternative Vehicle Service Group - Middleborough,12 Harding St Route 44,"I-495, Exit 6, Route 44 W",Middleborough,MA,02346,,617-242-8755,E,,Public - Credit card at all times,24 hours daily,M PHH V Voyager Wright_Exp,,Q,3600,,,,,,,200-9,41.901602,-70.975499,2025-08-12,20905,2025-08-12 16:54:10 UTC,P,,,2003-05-15,,MD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,OFFICE_BLDG,1,NONE,300,37000,,,,,,,,Q,3600,MD,,,false,,,,,,true,,MD,,
CNG,Alternative Vehicle Service Group - Walpole,533 High Plain St,Route 27 at Route 1 N,Walpole,MA,02081,,617-242-8755,E,,Public - Credit card at all times,24 hours daily,M PHH V Voyager Wright_Exp,,Q,3600,,,,,,,200-9,42.139911,-71.21695,2025-08-12,30355,2025-08-12 16:54:10 UTC,P,,,2006-06-15,,MD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,1,NONE,300,37000,,,,,,,,Q,3600,MD,,,false,,,,,,true,,MD,,
CNG,Massachusetts Bay Transportation Authority Southampton - Boston MA,240 Southampton St,"Route I-93 to MA Avenue, then to Southampton St.",Boston,MA,02118,,,E,,Private,,,,Q,3600,,,,,,,200-8,42.33188,-71.06422,2024-11-06,35135,2025-05-06 20:48:07 UTC,LG,,,2003-09-01,,HD,,,,US,,,,Privé,,private,,,MUNI_GOV,1,,4000,,,,,,,,,Q,3600,HD,,,,,,,,,,,HD,,
ELEC,SEAPORT GARAGE EAST GARAGE2 P1,1 Seaport Ln,Seaport parking East P1,Boston,MA,02210,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.349249,-71.040928,2025-11-08,38254,2025-11-08 01:13:09 UTC,,,,2009-03-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
